,base asset,compare asset,label
2091,LEXI,VONV,1
2126,MILN,PSL,1
2092,LEXI,VSMV,1
2094,LVHD,PUI,1
2095,MDIV,MILN,1
2096,MDIV,NXTG,1
2097,MDIV,NZAC,1
2098,MDIV,ONEQ,1
2099,MDIV,PDP,1
2100,MDIV,PFI,1
2101,MDIV,PFM,1
2102,MDIV,PNQI,1
2093,LEXI,YLDE,1
2082,LEXI,QCLR,1
2127,MILN,PY,1
2129,MILN,QTUM,1
2154,NFTY,QVAL,1
2155,NFTY,SOXX,1
2156,NXTG,PID,1
2157,NXTG,PNQI,1
2158,NXTG,QYLD,1
2159,NXTG,RFEM,1
2160,NXTG,SPBC,1
2161,NXTG,UEVM,1
2162,NXTG,USMC,1
2163,NXTG,VONV,1
2164,NXTG,VSMV,1
2165,NXTG,VYMI,1
2166,NXTG,YLDE,1
2167,NZAC,PSC,1
2168,NZAC,QCLR,1
2169,NZAC,RDVY,1
2170,NZAC,SHRY,1
2171,NZAC,SPBC,1
2172,NZAC,TDIV,1
2153,NFTY,QTEC,1
2152,NFTY,QQQE,1
2151,NFTY,QQEW,1
2150,NFTY,PSC,1
2130,MILN,RDVY,1
2131,MILN,RTH,1
2132,MILN,SHRY,1
2133,MILN,SPBC,1
2134,MILN,SUSL,1
2135,MILN,TDIV,1
2136,MILN,UEVM,1
2137,MILN,ULVM,1
2138,MILN,USMC,1
2128,MILN,QCLR,1
2139,MILN,USXF,1
2141,MILN,VONV,1
2142,MILN,VSDA,1
2143,MILN,VSMV,1
2144,MILN,VTHR,1
2145,MILN,VYMI,1
2146,MILN,XOVR,1
2147,MILN,YLDE,1
2148,NFTY,PHO,1
2149,NFTY,PPH,1
2140,MILN,VONG,1
2081,LEXI,PSC,1
2080,LEXI,PNQI,1
2079,LEXI,PKW,1
2011,KBWP,SIXG,1
2012,KBWP,SKYY,1
2013,KBWP,SPBC,1
2014,KBWP,SUSL,1
2015,KBWP,TDIV,1
2016,KBWP,ULVM,1
2017,KBWP,USXF,1
2018,KBWP,VIGI,1
2019,KBWP,VONE,1
2020,KBWP,VONG,1
2021,KBWP,VONV,1
2022,KBWP,VOTE,1
2023,KBWP,VSDA,1
