,base asset,compare asset,label
2888,VONV,VSMV,1
2880,VONE,VTHR,1
2889,VONV,VTHR,1
2891,VOTE,VSMV,1
2892,VOTE,VTHR,1
2893,VOTE,YLDE,1
2894,VSDA,VTHR,1
2895,VSDA,XOVR,1
2896,VSMV,VTHR,1
2897,VSMV,XOVR,1
2898,VXUS,VYMI,1
2890,VONV,XOVR,1
2879,VONE,VOTE,1
2878,VONE,VONV,1
2877,VONE,VONG,1
2858,USMC,VTHR,1
2859,USMC,XOVR,1
2860,USMC,YLDE,1
2861,USVM,USXF,1
2862,USVM,VONE,1
2863,USVM,VONG,1
2864,USVM,VONV,1
2865,USVM,VOTE,1
2866,USVM,VSMV,1
2867,USVM,VTHR,1
2868,USVM,XOVR,1
2869,USXF,VONE,1
2870,USXF,VONV,1
2871,USXF,VOTE,1
2872,USXF,VSDA,1
2873,USXF,VSMV,1
2874,USXF,YLDE,1
2875,VIGI,VSMV,1
2876,VIGI,VYMI,1
2813,SPBC,UEVM,1
2541,PSC,USMC,1
2812,SPBC,TDIV,1
2809,SKYY,YLDE,1
2745,RDVY,RTH,1
2746,RDVY,SHRY,1
2747,RDVY,SKYY,1
2748,RDVY,SPBC,1
2749,RDVY,SUSL,1
2750,RDVY,TDIV,1
2751,RDVY,UEVM,1
2752,RDVY,USMC,1
2744,RDVY,RFEM,1
2753,RDVY,USXF,1
2755,RDVY,VONG,1
2756,RDVY,VONV,1
2757,RDVY,VOTE,1
2758,RDVY,VSDA,1
2759,RDVY,VSMV,1
2760,RDVY,VTHR,1
2761,RDVY,XOVR,1
2762,RDVY,YLDE,1
2754,RDVY,VONE,1
2763,RFDI,RFEM,1
2743,QYLG,USMC,1
2741,QVAL,XOVR,1
2723,QTR,TDIV,1
2724,QTR,UEVM,1
2725,QTR,VSMV,1
2726,QTR,VTHR,1
2727,QTUM,RTH,1
2728,QVAL,QYLD,1
2729,QVAL,QYLG,1
2730,QVAL,SDVY,1
2742,QYLD,XOVR,1
2731,QVAL,SOXX,1
2733,QVAL,SUSL,1
2734,QVAL,TDIV,1
2735,QVAL,UEVM,1
2736,QVAL,USXF,1
2737,QVAL,VONE,1
2738,QVAL,VONG,1
2739,QVAL,VOTE,1
2740,QVAL,VTHR,1
2732,QVAL,SPBC,1
2764,RFDI,RNEM,1
2765,RFDI,UEVM,1
2766,RFDI,UIVM,1
2791,SHRY,TDIV,1
2792,SHRY,UEVM,1
2793,SHRY,USVM,1
2794,SHRY,USXF,1
2795,SHRY,VONG,1
2796,SHRY,VONV,1
2797,SHRY,VOTE,1
2798,SHRY,VSMV,1
2790,SHRY,SPBC,1
2799,SHRY,XOVR,1
2801,SIXG,ULVM,1
2802,SIXG,VONV,1
2803,SIXG,YLDE,1
2804,SKYY,SPBC,1
2805,SKYY,ULVM,1
2806,SKYY,USMC,1
2807,SKYY,VONV,1
2808,SKYY,VSMV,1
2800,SIXG,SPBC,1
2789,SDVY,XOVR,1
2788,SDVY,VONG,1
2787,SDVY,USXF,1
2767,RFDI,VXUS,1
2768,RFDI,VYMI,1
2769,RFEM,SHRY,1
2770,RFEM,SPBC,1
2771,RFEM,TDIV,1
2772,RFEM,UEVM,1
2773,RFEM,VIGI,1
2774,RFEM,VONV,1
2775,RFEM,VSMV,1
2776,RNEM,VIGI,1
2778,RTH,SIXG,1
2779,RTH,SPBC,1
2780,RTH,UEVM,1
2781,RTH,ULVM,1
2782,RTH,USMC,1
2783,RTH,VONV,1
2784,RTH,XOVR,1
2785,RTH,YLDE,1
2786,SDVY,SUSL,1
2811,SPBC,SUSL,1
2175,NZAC,USXF,1
2540,PSC,ULVM,1
2538,PSC,TDIV,1
2288,PDP,QCLR,1
2289,PDP,QVAL,1
2290,PDP,RDVY,1
2291,PDP,RTH,1
2292,PDP,SDVY,1
2293,PDP,SHRY,1
2294,PDP,SPBC,1
2295,PDP,SUSL,1
2287,PDP,PY,1
2296,PDP,TDIV,1
2298,PDP,ULVM,1
2299,PDP,USMC,1
2300,PDP,USVM,1
2301,PDP,USXF,1
2302,PDP,VONE,1
2303,PDP,VONG,1
2304,PDP,VONV,1
2305,PDP,VOTE,1
2297,PDP,UEVM,1
2306,PDP,VSDA,1
2286,PDP,PTF,1
2284,PDP,PSCI,1
2266,PDBC,VONE,1
2267,PDBC,VONG,1
2268,PDBC,VONV,1
2269,PDBC,VOTE,1
2270,PDBC,VSDA,1
2271,PDBC,VSMV,1
2272,PDBC,VTHR,1
2273,PDBC,VXUS,1
2285,PDP,PSET,1
2274,PDBC,VYMI,1
2276,PDBC,XOVR,1
2277,PDBC,YLDE,1
2278,PDP,PEY,1
2279,PDP,PFM,1
2280,PDP,PKW,1
2281,PDP,PPI,1
2282,PDP,PRN,1
2283,PDP,PSC,1
2275,PDBC,WCBR,1
2265,PDBC,VIGI,1
2307,PDP,VSMV,1
2309,PDP,XOVR,1
2332,PEY,SPBC,1
2333,PEY,SUSL,1
2334,PEY,TDIV,1
2335,PEY,UEVM,1
2336,PEY,ULVM,1
2337,PEY,USMC,1
2338,PEY,USVM,1
2339,PEY,USXF,1
2331,PEY,SKYY,1
2340,PEY,VONE,1
2342,PEY,VONV,1
2343,PEY,VOTE,1
2344,PEY,VSMV,1
2345,PEY,VTHR,1
2346,PEY,WCBR,1
2347,PEY,XOVR,1
2348,PFI,PFM,1
2349,PFI,PY,1
2341,PEY,VONG,1
2308,PDP,VTHR,1
2330,PEY,SIXG,1
2328,PEY,RTH,1
2310,PDP,YLDE,1
2311,PEY,PFI,1
2312,PEY,PFM,1
2313,PEY,PIZ,1
2314,PEY,PNQI,1
2315,PEY,PRN,1
2316,PEY,PSC,1
2317,PEY,PTF,1
2329,PEY,SHRY,1
2318,PEY,PY,1
2320,PEY,QMOM,1
2321,PEY,QQQ,1
2322,PEY,QQQM,1
2323,PEY,QTR,1
2324,PEY,QYLD,1
2325,PEY,QYLG,1
2326,PEY,RDVY,1
2327,PEY,RFEM,1
2319,PEY,QCLR,1
2264,PDBC,USXF,1
2263,PDBC,USVM,1
2262,PDBC,USMC,1
2199,OPPJ,PSET,1
2200,OPPJ,QCLR,1
2201,OPPJ,QQEW,1
2202,OPPJ,QQMG,1
2203,OPPJ,QQQ,1
2204,OPPJ,QQQE,1
2205,OPPJ,QQQM,1
2206,OPPJ,QQXT,1
2198,OPPJ,PNQI,1
2207,OPPJ,QTEC,1
2209,OPPJ,RFDI,1
2210,OPPJ,VIGI,1
2211,OPPJ,VONG,1
2212,OPPJ,XOVR,1
2213,PDBC,PDP,1
2214,PDBC,PEY,1
2215,PDBC,PFI,1
2216,PDBC,PFM,1
2208,OPPJ,QTR,1
2217,PDBC,PHO,1
2197,OPPJ,PIZ,1
2195,OPPJ,PDP,1
2177,NZAC,VOTE,1
2178,NZAC,VSMV,1
2179,NZAC,YLDE,1
2180,ONEQ,PNQI,1
2181,ONEQ,PSC,1
2182,ONEQ,QCLR,1
2183,ONEQ,QVAL,1
2184,ONEQ,RDVY,1
2196,OPPJ,PHO,1
2185,ONEQ,SPBC,1
2187,ONEQ,UEVM,1
2188,ONEQ,USMC,1
1448,FTQI,RDVY,1
2190,ONEQ,VONG,1
2191,ONEQ,VOTE,1
2192,ONEQ,VSMV,1
2193,ONEQ,VTHR,1
2194,ONEQ,YLDE,1
2186,ONEQ,TDIV,1
2218,PDBC,PID,1
2219,PDBC,PIZ,1
2220,PDBC,PKW,1
2244,PDBC,QVAL,1
2245,PDBC,QYLD,1
2246,PDBC,QYLG,1
2247,PDBC,RDVY,1
2248,PDBC,RFDI,1
2249,PDBC,RFEM,1
2250,PDBC,RNEM,1
2251,PDBC,RTH,1
2243,PDBC,QTUM,1
2252,PDBC,SDVY,1
2254,PDBC,SKYY,1
2255,PDBC,SOXX,1
2256,PDBC,SPBC,1
2257,PDBC,SUSL,1
2258,PDBC,TDIV,1
2259,PDBC,UEVM,1
2260,PDBC,UIVM,1
2261,PDBC,ULVM,1
2253,PDBC,SIXG,1
2242,PDBC,QTR,1
2241,PDBC,QTEC,1
2240,PDBC,QQXT,1
2221,PDBC,PNQI,1
2222,PDBC,PPH,1
2223,PDBC,PPI,1
2224,PDBC,PRN,1
2225,PDBC,PSC,1
2226,PDBC,PSCI,1
2227,PDBC,PSET,1
2228,PDBC,PSL,1
2229,PDBC,PTF,1
2230,PDBC,PTNQ,1
2231,PDBC,PUI,1
2232,PDBC,PY,1
2233,PDBC,QCLR,1
2234,PDBC,QMOM,1
2235,PDBC,QQEW,1
2236,PDBC,QQMG,1
2237,PDBC,QQQ,1
2238,PDBC,QQQE,1
2239,PDBC,QQQM,1
2350,PFI,QMOM,1
2351,PFI,RTH,1
2352,PFI,SIXG,1
2353,PFI,SKYY,1
2475,PPI,PSET,1
2476,PPI,PTF,1
2477,PPI,QCLR,1
2478,PPI,QQEW,1
2479,PPI,QQMG,1
2480,PPI,QQQ,1
2481,PPI,QQQE,1
2482,PPI,QQQM,1
2474,PPI,PSC,1
2483,PPI,QTEC,1
2485,PPI,QVAL,1
2486,PPI,QYLG,1
2487,PPI,RFDI,1
2488,PPI,RFEM,1
2489,PPI,RTH,1
2490,PPI,SHRY,1
2491,PPI,SOXX,1
2492,PPI,SPBC,1
2484,PPI,QTR,1
2493,PPI,SUSL,1
2473,PPI,PRN,1
2471,PPH,VIGI,1
2453,PPH,PSC,1
2454,PPH,PSCI,1
2455,PPH,PSET,1
2456,PPH,PTF,1
2457,PPH,PTNQ,1
2458,PPH,QQEW,1
2459,PPH,QQQE,1
2460,PPH,QTEC,1
2472,PPH,VSDA,1
2461,PPH,QTR,1
2463,PPH,RFEM,1
2464,PPH,RNEM,1
2465,PPH,SDVY,1
2466,PPH,SHRY,1
2467,PPH,SOXX,1
2468,PPH,TDIV,1
2469,PPH,UEVM,1
2470,PPH,USVM,1
2462,PPH,QVAL,1
2494,PPI,TDIV,1
2495,PPI,UEVM,1
2496,PPI,USVM,1
2520,PSC,PY,1
2521,PSC,QCLR,1
2522,PSC,QMOM,1
2523,PSC,QQMG,1
2524,PSC,QQQ,1
2525,PSC,QQQM,1
2526,PSC,QTR,1
2527,PSC,QVAL,1
2519,PSC,PTF,1
2528,PSC,QYLD,1
2530,PSC,RDVY,1
2531,PSC,RFEM,1
2532,PSC,RTH,1
2533,PSC,SDVY,1
2534,PSC,SHRY,1
2535,PSC,SIXG,1
2536,PSC,SPBC,1
2537,PSC,SUSL,1
2529,PSC,QYLG,1
2518,PSC,PSET,1
2517,PSC,PSCI,1
2516,PRN,VSMV,1
2497,PPI,USXF,1
2498,PPI,VIGI,1
2499,PPI,VONE,1
2500,PPI,VONG,1
2501,PPI,VOTE,1
2502,PPI,VSDA,1
2503,PPI,VTHR,1
2504,PPI,XOVR,1
2505,PRN,PSC,1
2506,PRN,PSCI,1
2507,PRN,PSET,1
2508,PRN,PTF,1
2509,PRN,QCLR,1
2510,PRN,QVAL,1
2511,PRN,RDVY,1
2512,PRN,SDVY,1
2513,PRN,SUSL,1
2514,PRN,USVM,1
2515,PRN,VSDA,1
2452,PPH,PRN,1
2539,PSC,UEVM,1
2451,PPH,PPI,1
2449,PNQI,XOVR,1
2386,PHO,USXF,1
2387,PID,PIZ,1
2388,PID,PNQI,1
2389,PID,RFDI,1
2390,PID,RFEM,1
2391,PID,TDIV,1
2392,PID,UEVM,1
2393,PID,VIGI,1
2385,PHO,QVAL,1
2394,PID,VXUS,1
2396,PIZ,PSL,1
2397,PIZ,QTUM,1
2398,PIZ,UIVM,1
2399,PIZ,USMC,1
2400,PIZ,VYMI,1
2401,PKW,PNQI,1
2402,PKW,PRN,1
2403,PKW,PSC,1
2395,PID,VYMI,1
2404,PKW,PTF,1
2384,PHO,QCLR,1
2382,PHO,PSCI,1
2354,PFI,ULVM,1
2355,PFI,VONV,1
2356,PFI,VSMV,1
2357,PFM,PKW,1
2358,PFM,PNQI,1
2359,PFM,PSC,1
2360,PFM,PTF,1
2361,PFM,QCLR,1
2383,PHO,PSET,1
2362,PFM,RDVY,1
2364,PFM,VONV,1
2365,PFM,VSDA,1
2366,PFM,VSMV,1
2367,PFM,VTHR,1
2368,PFM,XOVR,1
2379,PHO,PPH,1
2380,PHO,PPI,1
2381,PHO,PRN,1
2363,PFM,VONG,1
2405,PKW,QCLR,1
2406,PKW,RDVY,1
2407,PKW,RTH,1
2431,PNQI,RNEM,1
2432,PNQI,RTH,1
2433,PNQI,SDVY,1
2434,PNQI,SHRY,1
2435,PNQI,SPBC,1
2436,PNQI,SUSL,1
2437,PNQI,TDIV,1
2438,PNQI,UEVM,1
2430,PNQI,RDVY,1
2439,PNQI,ULVM,1
2441,PNQI,USXF,1
2442,PNQI,VONE,1
2443,PNQI,VONG,1
2444,PNQI,VONV,1
2445,PNQI,VOTE,1
2446,PNQI,VSMV,1
2447,PNQI,VTHR,1
2448,PNQI,VYMI,1
2440,PNQI,USMC,1
2429,PNQI,QYLG,1
2428,PNQI,QVAL,1
2427,PNQI,QTUM,1
2408,PKW,UEVM,1
2409,PKW,USMC,1
2410,PKW,USXF,1
2411,PKW,VONE,1
2412,PKW,VONG,1
2413,PKW,VOTE,1
2414,PKW,VSMV,1
2415,PKW,XOVR,1
2416,PKW,YLDE,1
2417,PNQI,PPI,1
2418,PNQI,PRN,1
2419,PNQI,PSC,1
2420,PNQI,PSCI,1
2421,PNQI,PY,1
2422,PNQI,QCLR,1
2423,PNQI,QQMG,1
2424,PNQI,QQQ,1
2425,PNQI,QQQM,1
2426,PNQI,QTR,1
2450,PNQI,YLDE,1
1447,FTQI,QYLG,1
1450,FTQI,SKYY,1
1445,FTQI,QTR,1
504,DWAW,ULVM,1
505,DWAW,USVM,1
506,DWAW,USXF,1
507,DWAW,VONV,1
508,DWAW,VSDA,1
509,DWAW,VSMV,1
510,DWSH,EWJV,1
511,DWSH,FEMS,1
503,DWAW,UEVM,1
512,DWSH,FTHI,1
514,DWSH,FTXL,1
515,DWSH,FTXN,1
516,DWSH,HLAL,1
517,DWSH,INDY,1
518,DWSH,NFTY,1
519,DWSH,OPPJ,1
520,DWSH,PDBC,1
521,DWSH,PPH,1
513,DWSH,FTQI,1
522,DWSH,PRN,1
502,DWAW,TDIV,1
500,DWAW,SHRY,1
482,DWAW,IUS,1
483,DWAW,IUSV,1
484,DWAW,KBWP,1
485,DWAW,KNGZ,1
486,DWAW,MDIV,1
487,DWAW,OPPJ,1
488,DWAW,PEY,1
489,DWAW,PFM,1
501,DWAW,SPBC,1
490,DWAW,PKW,1
492,DWAW,PSC,1
493,DWAW,PSL,1
494,DWAW,PY,1
495,DWAW,QCLR,1
496,DWAW,QMOM,1
497,DWAW,QVAL,1
498,DWAW,RDVY,1
499,DWAW,RTH,1
491,DWAW,PPI,1
523,DWSH,PSCI,1
524,DWSH,PSET,1
525,DWSH,PTF,1
549,DWUS,IMCV,1
550,DWUS,IUS,1
551,DWUS,JSMD,1
552,DWUS,KBWP,1
553,DWUS,KNGZ,1
554,DWUS,LEXI,1
555,DWUS,MDIV,1
556,DWUS,MILN,1
548,DWUS,HERD,1
557,DWUS,OPPJ,1
559,DWUS,PKW,1
560,DWUS,PNQI,1
561,DWUS,PPI,1
562,DWUS,PSC,1
563,DWUS,QCLR,1
564,DWUS,QVAL,1
565,DWUS,RDVY,1
566,DWUS,SHRY,1
558,DWUS,PFM,1
547,DWUS,GFGF,1
546,DWUS,FTHI,1
545,DWUS,FTCS,1
526,DWSH,PTNQ,1
527,DWSH,QCLR,1
528,DWSH,QQMG,1
529,DWSH,QTEC,1
530,DWSH,QTR,1
531,DWSH,QYLD,1
532,DWSH,QYLG,1
533,DWSH,SOXX,1
534,DWSH,SUSL,1
535,DWSH,USXF,1
536,DWUS,EQRR,1
537,DWUS,ESMV,1
538,DWUS,EWJV,1
539,DWUS,FAB,1
540,DWUS,FEX,1
541,DWUS,FNX,1
542,DWUS,FNY,1
543,DWUS,FSCS,1
544,DWUS,FTA,1
481,DWAW,IMCV,1
480,DWAW,FV,1
479,DWAW,FTQI,1
478,DWAW,FTHI,1
415,DMXF,KBWP,1
416,DMXF,OPPJ,1
417,DMXF,PPH,1
418,DMXF,PPI,1
419,DMXF,RNEM,1
420,DMXF,VYMI,1
421,DVLU,DWAW,1
422,DVLU,DWUS,1
414,DMXF,FJP,1
423,DVLU,EBIZ,1
425,DVLU,FAD,1
426,DVLU,FNY,1
427,DVLU,FTA,1
428,DVLU,FTCS,1
429,DVLU,FV,1
430,DVLU,IUSG,1
431,DVLU,KNGZ,1
432,DVLU,KRMA,1
424,DVLU,FAB,1
413,DMXF,EWJV,1
412,DGRW,VSDA,1
411,DGRW,VONG,1
392,DGRW,IUSV,1
393,DGRW,JSMD,1
394,DGRW,KRMA,1
395,DGRW,ONEQ,1
396,DGRW,PHO,1
397,DGRW,PNQI,1
398,DGRW,PRN,1
399,DGRW,PSC,1
400,DGRW,PSCI,1
401,DGRW,PSET,1
402,DGRW,PTF,1
403,DGRW,QQEW,1
404,DGRW,QQQE,1
405,DGRW,QQXT,1
406,DGRW,QTR,1
407,DGRW,QVAL,1
408,DGRW,RDVY,1
409,DGRW,SDVY,1
410,DGRW,USVM,1
433,DVLU,MILN,1
567,DWUS,SPBC,1
434,DVLU,ONEQ,1
436,DVLU,PNQI,1
460,DVOL,RTH,1
461,DVOL,SIXG,1
462,DVOL,ULVM,1
463,DVY,DWAW,1
464,DVY,EBIZ,1
465,DVY,FAD,1
466,DVY,ISHP,1
467,DVY,PFI,1
459,DVOL,PY,1
468,DVY,PIZ,1
470,DWAW,EQRR,1
471,DWAW,FAB,1
472,DWAW,FEX,1
473,DWAW,FNK,1
474,DWAW,FNX,1
475,DWAW,FSCS,1
476,DWAW,FTA,1
477,DWAW,FTCS,1
469,DVY,SIXG,1
458,DVOL,PEY,1
457,DVOL,MDIV,1
456,DVOL,KBWP,1
437,DVLU,PPH,1
438,DVLU,PPI,1
439,DVLU,PRN,1
440,DVLU,PSC,1
441,DVLU,PSET,1
442,DVLU,PTF,1
443,DVLU,QCLR,1
444,DVLU,QTR,1
445,DVLU,RFEM,1
446,DVLU,SIXG,1
447,DVLU,SUSL,1
448,DVLU,TDIV,1
449,DVLU,UEVM,1
450,DVLU,USXF,1
451,DVLU,VONG,1
452,DVLU,XOVR,1
453,DVOL,DVY,1
454,DVOL,EBIZ,1
455,DVOL,FSCS,1
435,DVLU,PDP,1
391,DGRW,HERD,1
568,DWUS,SUSL,1
570,DWUS,UEVM,1
683,EQRR,SOXX,1
684,EQRR,SPBC,1
685,EQRR,SUSL,1
686,EQRR,TDIV,1
687,EQRR,UEVM,1
688,EQRR,USMC,1
689,EQRR,USVM,1
690,EQRR,USXF,1
682,EQRR,SIXG,1
691,EQRR,VONE,1
693,EQRR,VOTE,1
694,EQRR,VSDA,1
695,EQRR,VTHR,1
696,EQRR,XOVR,1
697,ESGD,EWJV,1
698,ESGD,VYMI,1
699,ESGU,ESMV,1
700,ESGU,FAD,1
692,EQRR,VONG,1
701,ESGU,FNY,1
681,EQRR,SHRY,1
679,EQRR,RTH,1
661,EQRR,PSC,1
662,EQRR,PSCI,1
663,EQRR,PSET,1
664,EQRR,PSL,1
665,EQRR,PTF,1
666,EQRR,PTNQ,1
667,EQRR,QCLR,1
668,EQRR,QQEW,1
680,EQRR,SDVY,1
669,EQRR,QQMG,1
671,EQRR,QQQE,1
672,EQRR,QQQM,1
673,EQRR,QTEC,1
674,EQRR,QTR,1
675,EQRR,QVAL,1
676,EQRR,QYLD,1
677,EQRR,QYLG,1
678,EQRR,RFEM,1
670,EQRR,QQQ,1
702,ESGU,FSCS,1
703,ESGU,FTCS,1
704,ESGU,FTHI,1
728,ESMV,FEX,1
729,ESMV,FSCS,1
730,ESMV,FTA,1
731,ESMV,FTHI,1
732,ESMV,GFGF,1
733,ESMV,IMCV,1
734,ESMV,IUSG,1
735,ESMV,JSMD,1
727,ESGU,VTHR,1
736,ESMV,KBWP,1
1446,FTQI,QYLD,1
739,ESMV,MILN,1
740,ESMV,NXTG,1
741,ESMV,ONEQ,1
742,ESMV,PFM,1
743,ESMV,PKW,1
744,ESMV,PNQI,1
745,ESMV,PRN,1
737,ESMV,LEXI,1
726,ESGU,VSMV,1
725,ESGU,VOTE,1
724,ESGU,VONV,1
705,ESGU,FTQI,1
706,ESGU,GFGF,1
707,ESGU,IUS,1
708,ESGU,JSMD,1
709,ESGU,KBWP,1
710,ESGU,PDP,1
711,ESGU,PFM,1
712,ESGU,PNQI,1
713,ESGU,PSC,1
714,ESGU,PTF,1
715,ESGU,QCLR,1
716,ESGU,RDVY,1
717,ESGU,SHRY,1
718,ESGU,SPBC,1
719,ESGU,TDIV,1
720,ESGU,UEVM,1
721,ESGU,USMC,1
722,ESGU,USXF,1
723,ESGU,VONE,1
660,EQRR,PRN,1
659,EQRR,PPI,1
658,EQRR,PPH,1
657,EQRR,PNQI,1
594,EBIZ,LEGR,1
595,EBIZ,MDIV,1
596,EBIZ,MILN,1
597,EBIZ,OPPJ,1
598,EBIZ,PEY,1
599,EBIZ,PFI,1
600,EBIZ,PFM,1
601,EBIZ,PID,1
593,EBIZ,KBWP,1
602,EBIZ,PSL,1
604,EBIZ,QCLR,1
605,EBIZ,QTUM,1
606,EBIZ,RDVY,1
607,EBIZ,RTH,1
608,EBIZ,SIXG,1
609,EBIZ,SPBC,1
610,EBIZ,SUSL,1
611,EBIZ,TDIV,1
603,EBIZ,PY,1
592,EBIZ,IUSG,1
591,EBIZ,IMCV,1
590,EBIZ,GFGF,1
571,DWUS,USMC,1
572,DWUS,USVM,1
573,DWUS,USXF,1
574,DWUS,VONE,1
575,DWUS,VONG,1
576,DWUS,VONV,1
577,DWUS,VOTE,1
578,DWUS,VSDA,1
579,DWUS,VSMV,1
580,DWUS,YLDE,1
581,EBIZ,ESGU,1
582,EBIZ,EUFN,1
583,EBIZ,FAD,1
584,EBIZ,FEX,1
585,EBIZ,FSCS,1
586,EBIZ,FTA,1
587,EBIZ,FTC,1
588,EBIZ,FTHI,1
589,EBIZ,FTQI,1
612,EBIZ,UEVM,1
569,DWUS,TDIV,1
613,EBIZ,ULVM,1
615,EBIZ,USXF,1
639,EQRR,GFGF,1
640,EQRR,GRID,1
641,EQRR,INDY,1
642,EQRR,IUS,1
643,EQRR,IUSG,1
644,EQRR,IUSV,1
645,EQRR,JSMD,1
646,EQRR,KBWP,1
638,EQRR,FV,1
647,EQRR,KRMA,1
649,EQRR,MILN,1
650,EQRR,NFTY,1
651,EQRR,NZAC,1
652,EQRR,ONEQ,1
653,EQRR,OPPJ,1
654,EQRR,PDP,1
655,EQRR,PFM,1
656,EQRR,PHO,1
648,EQRR,LEXI,1
637,EQRR,FTXL,1
636,EQRR,FTCS,1
635,EQRR,FTC,1
616,EBIZ,VONE,1
617,EBIZ,VONV,1
618,EBIZ,VOTE,1
619,EBIZ,VSMV,1
620,EBIZ,VTHR,1
621,EBIZ,VYMI,1
622,EBIZ,YLDE,1
623,EFAS,FDT,1
624,EFAS,FEP,1
625,EFAS,FEUZ,1
626,EFAS,FGM,1
627,EFAS,PIZ,1
628,EQRR,ESGU,1
629,EQRR,ESMV,1
630,EQRR,EWJV,1
631,EQRR,FAB,1
632,EQRR,FAD,1
633,EQRR,FEMS,1
634,EQRR,FEX,1
614,EBIZ,USMC,1
390,DGRW,FTHI,1
389,DGRW,FTCS,1
388,DGRW,FSCS,1
113,AIRR,PDP,1
114,AIRR,PHO,1
115,AIRR,PIZ,1
116,AIRR,PKW,1
117,AIRR,PNQI,1
118,AIRR,PSC,1
119,AIRR,PSET,1
120,AIRR,PTF,1
112,AIRR,ONEQ,1
121,AIRR,QCLR,1
123,AIRR,QQQE,1
124,AIRR,QQXT,1
125,AIRR,SUSL,1
126,AIRR,USXF,1
127,AIRR,VONG,1
128,AIRR,VSDA,1
129,AIRR,VSMV,1
130,AIRR,XOVR,1
122,AIRR,QQEW,1
131,AQWA,CEFA,1
111,AIRR,NZAC,1
109,AIRR,KRMA,1
91,AIRR,CATH,1
92,AIRR,CFA,1
93,AIRR,DEMZ,1
94,AIRR,DGRW,1
95,AIRR,DWAW,1
96,AIRR,DWUS,1
97,AIRR,EBIZ,1
98,AIRR,ESGU,1
110,AIRR,MILN,1
99,AIRR,ESMV,1
101,AIRR,FNY,1
102,AIRR,FSCS,1
103,AIRR,FTC,1
104,AIRR,FTCS,1
105,AIRR,GRID,1
106,AIRR,IUSG,1
107,AIRR,IUSV,1
108,AIRR,JSMD,1
100,AIRR,FAD,1
132,AQWA,DEMZ,1
133,AQWA,DGRW,1
134,AQWA,DMXF,1
158,AQWA,QQQE,1
159,AQWA,QQQM,1
160,AQWA,QTR,1
161,AQWA,QVAL,1
162,AQWA,RFEM,1
163,AQWA,RNEM,1
164,AQWA,SHRY,1
165,AQWA,SPBC,1
157,AQWA,QQQ,1
166,AQWA,SUSL,1
168,AQWA,UEVM,1
169,AQWA,USMC,1
170,AQWA,USXF,1
171,AQWA,VONG,1
172,AQWA,VOTE,1
173,AQWA,VSMV,1
174,AQWA,VYMI,1
175,AQWA,YLDE,1
167,AQWA,TDIV,1
156,AQWA,QQMG,1
155,AQWA,QQEW,1
154,AQWA,QCLR,1
135,AQWA,DWUS,1
136,AQWA,EQRR,1
137,AQWA,EWJV,1
138,AQWA,FEMS,1
139,AQWA,FJP,1
140,AQWA,FTHI,1
141,AQWA,FTQI,1
142,AQWA,GRID,1
143,AQWA,HERD,1
144,AQWA,HLAL,1
145,AQWA,INDY,1
146,AQWA,IUS,1
147,AQWA,IUSV,1
148,AQWA,KBWP,1
149,AQWA,NFTY,1
150,AQWA,OPPJ,1
151,AQWA,PPH,1
152,AQWA,PPI,1
153,AQWA,PSET,1
90,AIRR,AQWA,1
89,AIQ,YLDE,1
88,AIQ,VSMV,1
87,AIQ,USMC,1
24,ACWI,USMC,1
25,ACWI,VSMV,1
26,ACWI,YLDE,1
27,ACWX,EWJV,1
28,ACWX,FICS,1
29,ACWX,IXUS,1
30,ACWX,KBWP,1
31,ACWX,PID,1
23,ACWI,UEVM,1
32,ACWX,RFDI,1
34,ACWX,VYMI,1
35,AGNG,AIRR,1
36,AGNG,AQWA,1
37,AGNG,DGRW,1
38,AGNG,DWUS,1
39,AGNG,ESMV,1
40,AGNG,FSCS,1
41,AGNG,FTA,1
33,ACWX,VXUS,1
22,ACWI,TDIV,1
21,ACWI,SPBC,1
20,ACWI,SHRY,1
1,AADR,DVOL,1
2,AADR,EBIZ,1
3,AADR,ISHP,1
4,AADR,KBWP,1
5,AADR,RTH,1
6,ACWI,DWUS,1
7,ACWI,EWJV,1
8,ACWI,FSCS,1
9,ACWI,FTCS,1
10,ACWI,FTHI,1
11,ACWI,GFGF,1
12,ACWI,IUS,1
13,ACWI,JSMD,1
14,ACWI,KBWP,1
15,ACWI,MILN,1
16,ACWI,PFM,1
17,ACWI,PNQI,1
18,ACWI,QCLR,1
19,ACWI,RDVY,1
42,AGNG,FTHI,1
203,BUG,DDIV,1
43,AGNG,GRID,1
45,AGNG,IUS,1
69,AIQ,FTHI,1
70,AIQ,FTQI,1
71,AIQ,HERD,1
72,AIQ,IUS,1
73,AIQ,IUSV,1
74,AIQ,JSMD,1
75,AIQ,KBWP,1
76,AIQ,OPPJ,1
68,AIQ,FJP,1
77,AIQ,PKW,1
79,AIQ,QQEW,1
80,AIQ,QQMG,1
81,AIQ,QQQE,1
82,AIQ,QQXT,1
83,AIQ,QVAL,1
84,AIQ,QYLD,1
85,AIQ,RDVY,1
86,AIQ,SPBC,1
78,AIQ,PNQI,1
67,AIQ,EWJV,1
66,AIQ,DGRW,1
65,AIQ,AQWA,1
46,AGNG,IUSV,1
47,AGNG,KBWP,1
48,AGNG,KNGZ,1
49,AGNG,KRMA,1
50,AGNG,PDP,1
51,AGNG,PFM,1
