Date,Open,Close,Returns,Range,MA_12,MA_21,HMM,MA_Signal,HMM_Signal,Main_Signal,lrets_bench,bench_prod,bench_prod_exp,lrets_strat,lrets_prod,strat_prod_exp
2019-02-20,251.2769708012326,251.81967163085938,0.0020158405076171615,0.5105140887882271,247.68983459472656,244.49148414248512,0,1.0,1,1.0,0.0020138114275513605,0.05747364556930282,0.059157356797749694,-0.00039595220221073956,0.018637653520694887,0.01881241863389116
2019-02-21,251.17749682604838,250.9242401123047,-0.003555844198968261,0.5828613616260157,248.10139083862305,245.1186036609468,0,1.0,1,1.0,-0.0035621812397649897,0.05391146432953783,0.05539115825478591,0.0014750967634522367,0.020112750284147125,0.02031637450269419
2019-02-22,251.5482813429561,252.4799346923828,0.0061998576916357795,0.7727967636564301,248.55665588378906,245.7961156935919,0,1.0,1,1.0,0.006180717643582126,0.060092181973119954,0.06193443324497627,0.009376625943407312,0.02948937622755444,0.029928493687818136
2019-02-25,253.91804833043594,252.82359313964844,0.001361131717989128,0.7004493713309898,249.06769307454428,246.4839608328683,0,1.0,1,1.0,0.0013602062179353992,0.061452388191055356,0.06337986588449085,-0.005715493823914423,0.023773882403640013,0.024058734009547278
2019-02-26,252.47092075720172,252.6427764892578,-0.0007151889906522602,0.26628360232453474,249.75963592529297,247.06714739118303,0,1.0,1,1.0,-0.0007154448603024802,0.06073694333075288,0.06261934831152893,-0.0021879352473541196,0.021585947156285895,0.021820609139029612
2019-02-27,251.9191345870699,252.53421020507812,-0.00042972249469519497,0.9084651182106995,250.41765975952148,247.73216828845796,0,1.0,1,1.0,-0.0004298148518660021,0.060307128478886876,0.062162716874261115,0.0015783044958814414,0.023164251652167338,0.02343462657085338
2019-02-28,252.31705362588838,252.0637969970703,-0.0018627702267577373,0.022080267234400708,251.02517573038736,248.3898642403739,0,1.0,1,1.0,-0.0018645073407813088,0.05844262113810557,0.06018415178929559,0.005291565872851468,0.028455817525018808,0.028864552047960457
2019-03-01,253.65574469830437,253.63766479492188,0.006243926405146816,0.8632513559151107,251.5015411376953,248.9428979782831,0,1.0,1,1.0,0.006224513861758584,0.06466713499986415,0.06680386360897095,0.0041279888147805095,0.03258380633979932,0.033120471561305154
2019-03-04,254.70499693601113,252.71510314941406,-0.003637321161483409,3.5495944456691575,251.83394877115884,249.3507821219308,1,1.0,0,1.0,-0.0036439522986998463,0.0610231827011643,0.06292355534071392,-0.007342433601435736,0.025241372738363584,0.0255626335129977
2019-03-05,252.84169137782405,252.371337890625,-0.001360287748951139,0.2210696721375598,252.18368784586588,249.7366986955915,1,1.0,0,0.0,-0.0013612137802056902,0.05966196892095861,0.06147767345031241,-0.0,0.025241372738363584,0.0255626335129977
2019-03-06,252.48898634620173,250.84280395507812,-0.00605668594667963,0.9808400810190108,252.18068313598633,249.9679957798549,1,1.0,0,0.0,-0.006075102067099674,0.05358686685385894,0.05504863654281156,-0.0,0.025241372738363584,0.0255626335129977
2019-03-07,250.39050871311548,248.74435424804688,-0.008365596596532465,1.6411011876300847,251.96662394205728,250.05026245117188,1,1.0,0,0.0,-0.008400784582829076,0.04518608227102986,0.04622252525977277,-0.0,0.025241372738363584,0.0255626335129977
